increment,time_s,node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w,rf1_n,rf2_n,rf3_n
1,0.01999999955296516,1,300,-7.020125410550005e-41,-1.03936440144202e-40,-1.114834700548595e-40,-5.228425433251197e-06,4124.892072960003,536.8660051103261,572.2619115869122
1,0.01999999955296516,2,300.0000006960718,-4.780170898772804e-05,-1.841844967772603e-05,-2.406031976581925e-05,0,0,0,0
1,0.01999999955296516,3,300.0000589099883,-0.0001068100698726873,7.023260540363728e-06,-7.971694128119731e-06,0,0,0,0
1,0.01999999955296516,4,300,-3.840489921089208e-41,-3.285180221872227e-41,3.9197745941908e-41,-5.230530527142233e-06,4458.376117395103,-615.9297670921439,509.7350493654247
1,0.01999999955296516,5,300.000000697583,-7.292333804338759e-05,3.436807558063379e-05,-1.744263307551538e-05,0,0,0,0
1,0.01999999955296516,6,300.0000596648585,-0.0001518156229458008,4.735352483823086e-05,-2.268951856326053e-06,0,0,0,0
1,0.01999999955296516,7,300,-9.934095234161515e-41,6.548561915602882e-41,-5.765415102382217e-41,-5.229481577205627e-06,4291.647734647701,505.6550535612222,-611.8470010032617
1,0.01999999955296516,8,300.0000006968303,-6.034910341838172e-05,-1.511295259469265e-05,3.20385905619452e-05,0,0,0,0
1,0.01999999955296516,9,300.0000592885407,-0.0001292734803803098,9.899990280059998e-06,3.513484033910673e-05,0,0,0,0
1,0.01999999955296516,10,300,1.521398683980717e-40,1.733916726033239e-40,1.643706120280189e-40,-5.231586763521429e-06,4625.084075006122,-584.5076479743338,-549.1089990176901
1,0.01999999955296516,11,300.0000006983417,-8.552492127219879e-05,3.104906881776351e-05,2.540739775024041e-05,0,0,0,0
1,0.01999999955296516,12,300.0000600449308,-0.0001744372552287199,4.457880128678461e-05,2.953411138418355e-05,0,0,0,0
1,0.01999999955296516,13,300.001187456613,-0.0001380166908457065,0.0009176821712235491,0.0004493448416426037,0,0,0,0
1,0.01999999955296516,14,300.0791517654239,-0.0002218029418819977,0.000912924382957864,0.0004297102052530467,0,0,0,0
1,0.01999999955296516,15,310,-0.0002589012257971898,0.001,0.0005,3206.183608679313,0,1343.026791288184,1325.312631183383
1,0.01999999955296516,16,300.0011869468423,-0.0001881609054338198,0.0009518215623073758,0.0004530956705970175,0,0,0,0
1,0.01999999955296516,17,300.0791526114969,-0.0002850982759415549,0.001017390109037941,0.0004322589944247497,0,0,0,0
1,0.01999999955296516,18,310,-0.0003266896944514643,0.001,0.0005,3206.183736201888,0,-1263.411023934612,1316.620179402118
1,0.01999999955296516,19,300.0011872000238,-0.00016304918431893,0.0009195303610782471,0.000485443741342528,0,0,0,0
1,0.01999999955296516,20,300.0791521895845,-0.0002534317651508621,0.0009142012690394133,0.0005354493315716234,0,0,0,0
1,0.01999999955296516,21,310,-0.0002927913930379305,0.001,0.0005,3206.183672549181,0,1338.648294270668,-1285.472145533703
1,0.01999999955296516,22,300.0011866910528,-0.0002133324913937879,0.0009498647766826539,0.0004815843081533887,0,0,0,0
1,0.01999999955296516,23,300.0791530311647,-0.0003167832809132568,0.001016123134590796,0.0005329104498720318,0,0,0,0
1,0.01999999955296516,24,310,-0.0003605770199180873,0.001,0.0005,3206.183799639411,0,-1259.161432312665,-1276.908573070637
2,0.03999999910593033,1,300,-2.414287031391358e-41,-1.662316807255582e-40,-8.480242199685001e-41,-3.5180573173132e-05,7834.466164467352,1034.806300337796,1163.990813436881
2,0.03999999910593033,2,300.0000046758528,-6.430714652378327e-05,-2.63445556320671e-05,-4.699189802379083e-05,0,0,0,0
2,0.03999999910593033,3,300.0003345161829,-0.0001575546920469008,5.661617537277553e-05,1.798628481205604e-06,0,0,0,0
2,0.03999999910593033,4,300,9.496506331387484e-42,-1.902587347824223e-40,-6.331085262242775e-41,-3.521327929482381e-05,9055.214106377709,-1322.932270489626,935.3242985990883
2,0.03999999910593033,5,300.0000046977597,-0.0001562059803157924,8.469992631425997e-05,-2.276211122571252e-05,0,0,0,0
2,0.03999999910593033,6,300.000344617254,-0.0003221736256723901,0.0001422513776502765,2.285781391034232e-05,0,0,0,0
2,0.03999999910593033,7,300,4.867108166483555e-42,-1.647268592971728e-40,-9.040544194397521e-41,-3.519696555981963e-05,8444.925021430405,920.8246095880962,-1308.411459935433
2,0.03999999910593033,8,300.0000046868381,-0.0001101675797814163,-1.425255655392571e-05,7.619342067534811e-05,0,0,0,0
2,0.03999999910593033,9,300.0003395740925,-0.0002396023194207125,6.731290669476695e-05,9.746836773804054e-05,0,0,0,0
2,0.03999999910593033,10,300,2.053677762271167e-41,-2.203088860668795e-40,-1.373107934611908e-40,-3.522968063986011e-05,9665.394707759324,-1207.533659332851,-1078.328828244962
2,0.03999999910593033,11,300.0000047087509,-0.0002024268556419092,7.25153076680892e-05,5.187111714024324e-05,0,0,0,0
2,0.03999999910593033,12,300.0003497072431,-0.0004052749099350474,0.0001322303372891376,7.708507940225927e-05,0,0,0,0
2,0.03999999910593033,13,300.0046237922231,-0.000213749933854443,0.001725149406560459,0.0008411254899519339,0,0,0,0
2,0.03999999910593033,14,300.2370161195709,-0.0003645476220776537,0.001766454355373402,0.0008279918394260347,0,0,0,0
2,0.03999999910593033,15,320,-0.0004331019813072208,0.002,0.001,3287.494316763981,0,2758.349137855659,2693.556048984559
2,0.03999999910593033,16,300.004616103119,-0.0003973036172908353,0.00179665847388358,0.0008547295642554132,0,0,0,0
2,0.03999999910593033,17,300.237023155877,-0.0005965178753202135,0.001978019523622094,0.0008373742948473452,0,0,0,0
2,0.03999999910593033,18,320,-0.0006816981746693043,0.002,0.001,3287.495262931291,0,-2466.256229268919,2661.525456692777
2,0.03999999910593033,19,300.0046199258355,-0.0003052691251102149,0.001731765719953821,0.0009200098199265039,0,0,0,0
2,0.03999999910593033,20,300.2370196536466,-0.0004804132190890523,0.001771158822669586,0.001044255223683095,0,0,0,0
2,0.03999999910593033,21,320,-0.0005573778450080941,0.002,0.001,3287.494791298309,0,2742.170811573865,-2547.34405448274
2,0.03999999910593033,22,300.0046122622546,-0.0004897584888549807,0.001789303207580046,0.0009056665465471604,0,0,0,0
2,0.03999999910593033,23,300.2370266264637,-0.0007127679284891861,0.001973367373507092,0.001034924962956166,0,0,0,0
2,0.03999999910593033,24,320,-0.000805970029894867,0.002,0.001,3287.495731698216,0,-2450.727903658779,-2515.962689973463
3,0.05999999865889549,1,300,7.382733248202062e-42,-9.954051822539919e-41,-4.90877617550518e-41,-0.0001345308278595539,11226.49454720168,1504.031409654435,1771.126660562576
3,0.05999999865889549,2,300.0000178501796,-5.689220320734166e-05,-2.626318471649e-05,-6.907040978513006e-05,0,0,0,0
3,0.05999999865889549,3,300.0010993637971,-0.0001654463468120879,0.0001385664609016459,2.501295938563268e-05,0,0,0,0
3,0.05999999865889549,4,300,5.207947724983589e-43,-1.29350453209544e-40,-3.4639811012935e-41,-0.0001347361921896329,13757.91690982113,-2098.729957426394,1297.292719916788
3,0.05999999865889549,5,300.0000179806767,-0.0002473661734264512,0.0001472086749478609,-1.88091519676808e-05,0,0,0,0
3,0.05999999865889549,6,300.0011528354594,-0.0005066364099100444,0.0002735025457412591,6.900833509626489e-05,0,0,0,0
3,0.05999999865889549,7,300,1.981831219707402e-41,-1.047695257026648e-40,-6.199772838270111e-41,-0.0001346336918588676,12492.42870356395,1268.125217838021,-2069.505540330182
3,0.05999999865889549,8,300.000017915578,-0.000151876517987142,-1.199729025415626e-06,0.0001296132884429481,0,0,0,0
3,0.05999999865889549,9,300.0011261199229,-0.0003352952967142133,0.0001610360569432927,0.0001805493331740353,0,0,0,0
3,0.05999999865889549,10,300,-8.059428330633465e-42,-1.60792088735958e-40,-1.075548949512593e-40,-0.0001348391655762265,15023.15983944738,-1858.747031519019,-1591.598970056582
