increment,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl1_w_m2,hfl2_w_m2,hfl3_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.009999999776482582,1,1,0.1056559936891091,0.2113237680092057,0.2113235161845652,300,-6.231794555389136e-07,-5.292266624934427e-11,-2.732980508568517e-11,-7956.126343066058,-1742.784015966761,-1732.843956882387,-552.2185200457568,-631.2441917380623,14.89090262568485,-5.819132131776311e-05,8.084423788177891e-06,8.190465262410319e-06,-1.178036248459984e-05,-1.346614166241601e-05,3.177384086081611e-07,-5.819125425556915e-05,8.084397233490038e-06,8.190424530390028e-06,-1.178066176097615e-05,-1.346654275707866e-05,3.176725893479435e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249738027788843
1,0.009999999776482582,1,2,0.3943135365719368,0.2113207698676341,0.211319830045281,300.0000000207662,-6.231801350083458e-07,-1.972522145662231e-10,-9.907449860719136e-11,-8876.020854003713,-1296.414860622749,-1259.318601090913,-730.8003973458551,-720.5035282413852,55.572787221563,-6.800352158058998e-05,1.284568838446953e-05,1.324140092947856e-05,-1.559019447671277e-05,-1.537032889332175e-05,1.18561225772517e-06,-6.800346237387589e-05,1.284566822358686e-05,1.324136165859995e-05,-1.559040847698137e-05,-1.537074193608221e-05,1.185552794080527e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624973802778884
1,0.009999999776482582,1,3,0.1056551885926824,0.7886771169736777,0.2113236384988331,300,-6.234686467099237e-07,-5.277944747916763e-11,-2.645883512286673e-11,-8419.1234528285,-1491.405432178603,-1521.225430908099,814.1022921716109,-577.0253003627402,4.951854499806388,-6.313001113759734e-05,1.076585638411184e-05,1.044772248663463e-05,1.736677209755386e-05,-1.230947071652291e-05,1.055301979508388e-07,-6.31298900930352e-05,1.076576879389704e-05,1.044768880744909e-05,1.73675155663277e-05,-1.230987307440512e-05,1.056395626625363e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249738027788843
1,0.009999999776482582,1,4,0.3943105319111673,0.7886825329334504,0.2113202865283436,300.0000000207826,-6.23468237050585e-07,-1.970577867590349e-10,-9.807488155137534e-11,-9302.809787583936,-1008.828175660029,-1120.116352473256,635.5096129713252,-666.4020858881494,18.48031128796621,-7.255599084722127e-05,1.591334072245335e-05,1.47262178580496e-05,1.355648338254208e-05,-1.421618309424777e-05,3.941316410502046e-07,-7.255587766547837e-05,1.59132595299088e-05,1.472618564388049e-05,1.355753841028974e-05,-1.421657783252673e-05,3.942466408167737e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249738027788841
1,0.009999999776482582,1,5,0.1056555912706648,0.2113238291115109,0.7886769263626436,300,-6.233247717979395e-07,-5.256461932390266e-11,-2.719158231911933e-11,-8187.547656566678,-1637.013391311334,-1607.193268037192,-525.1544933394657,762.231789579202,-4.987208287437921,-6.065984353777993e-05,9.212640864717985e-06,9.530770406094879e-06,-1.120300019893329e-05,1.626032590929476e-05,-1.064773719212338e-07,-6.065974826624242e-05,9.212617229814584e-06,9.530698544738762e-06,-1.12032958579086e-05,1.626094484435631e-05,-1.063937767986757e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249738027788841
1,0.009999999776482582,1,6,0.394312034725857,0.2113209979045417,0.7886818215633872,300.0000000207745,-6.233244320826432e-07,-1.964245433013495e-10,-9.874476236887165e-11,-9089.338022246415,-1226.852451425378,-1115.563842045506,-703.8532375814306,672.9616531961125,-18.6122461632486,-7.027893290829842e-05,1.358768448820204e-05,1.477481615308613e-05,-1.501533664055114e-05,1.435568748115991e-05,-3.971504784223318e-07,-7.027884550183805e-05,1.358766725503823e-05,1.477474575511075e-05,-1.501553573533047e-05,1.435651526843227e-05,-3.970612514895106e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624973802778884
1,0.009999999776482582,1,7,0.1056547856521216,0.7886770556516496,0.7886768038286811,300,-6.236129879155783e-07,-5.24513765753909e-11,-2.65720778713785e-11,-8650.855484705511,-1385.479448334978,-1395.419382874715,786.8564085622073,707.8310537145123,-14.92635637955701,-6.560184280655719e-05,1.189572818510873e-05,1.178968235424203e-05,1.67855131805114e-05,1.509975859672238e-05,-3.182858135178294e-07,-6.560169843305665e-05,1.189564595489571e-05,1.178961998647186e-05,1.678627004932709e-05,1.510039581257626e-05,-3.184289360972162e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624973802778884
1,0.009999999776482582,1,8,0.3943090281165219,0.7886823040765263,0.7886813642604127,300.0000000207908,-6.236122285359948e-07,-1.962796591966361e-10,-9.881095941671791e-11,-9516.437773647911,-939.1103575520051,-976.2061845172266,608.1480250377186,618.4457950872801,-55.70514888843449,-7.483471268469991e-05,1.665699207961699e-05,1.626128833785403e-05,1.297276134772858e-05,1.319267774854038e-05,-1.188239756630088e-06,-7.483457618353426e-05,1.66569162564072e-05,1.626122743543798e-05,1.297382453436278e-05,1.319351029542389e-05,-1.188376509640525e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624973802778884
1,0.009999999776482582,2,1,0.6056246290168663,0.2113211105406786,0.2113193900853937,300.0000000207662,-0.0001042955382430626,-5.260381699273488e-08,-2.641914838614727e-08,-8620.716745386922,132.5468035812535,177.9792310227126,276.8958017028324,222.9093134308223,68.43310795993581,-7.256389916792533e-05,2.080432295563284e-05,2.128891920693151e-05,5.90611030954259e-06,4.754807128121693e-06,1.459949916060512e-06,-7.256386696022269e-05,2.08042775637203e-05,2.128889012310425e-05,5.907110436429315e-06,4.755398686606502e-06,1.459906303170561e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249809561295131
1,0.009999999776482582,2,2,0.8942797268964795,0.211325039418317,0.2113218742319126,300.0000034918803,-0.0001042955356093171,-1.937699840648548e-07,-9.731717423618375e-08,-8399.764503448616,24.25549052192264,65.31832618175076,135.4628764557651,152.2474083911709,62.87296459454294,-7.020705814428871e-05,1.964920174916051e-05,2.00871993898288e-05,2.88877652527887e-06,3.24730648903231e-06,1.341319657150541e-06,-7.020704330534251e-05,1.964917022514916e-05,2.008717380679521e-05,2.889874706132237e-06,3.247944721796174e-06,1.341289915253269e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249809561295128
