increment,time_s,node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w,rf1_n,rf2_n,rf3_n
1,0.03999999910593033,1,300,-9.020436087826282e-40,-7.276320213451372e-40,-7.673950333315092e-40,-0.0001719696307999908,7829.945789877184,1034.382652135184,1164.222146051388
1,0.03999999910593033,2,300.0000228427035,-6.396710856152661e-05,-2.623298882501769e-05,-4.698067146139038e-05,0,0,0,0
1,0.03999999910593033,3,300.0009766667587,-0.0001569489000033283,5.7062683569041e-05,1.98287986563371e-06,0,0,0,0
1,0.03999999910593033,4,300,-1.878878843243707e-40,-2.800351553052041e-40,1.655450491386516e-40,-0.0001721572567260128,9056.72229464291,-1324.020254081085,934.4215809668614
1,0.03999999910593033,5,300.000022971864,-0.000156319730436102,8.48705963763282e-05,-2.263204066216586e-05,0,0,0,0
1,0.03999999910593033,6,300.0010092105362,-0.0003223771815753751,0.0001427549143793982,2.314239751158709e-05,0,0,0,0
1,0.03999999910593033,7,300,-7.986542347924498e-40,4.130704531009382e-40,-4.888943461432063e-40,-0.0001720636649552157,8443.403914489585,919.8332467405577,-1309.394479410879
1,0.03999999910593033,8,300.0000229074616,-0.0001100533494338529,-1.408138742602671e-05,7.632258873962523e-05,0,0,0,0
1,0.03999999910593033,9,300.0009929681494,-0.0002394028801476204,6.781009159736105e-05,9.775726754631001e-05,0,0,0,0
1,0.03999999910593033,10,300,1.414873467185538e-39,1.213524796834741e-39,1.135234820853284e-39,-0.0001722513419903136,9669.928001095015,-1208.062660404308,-1078.186113959559
1,0.03999999910593033,11,300.0000230366575,-0.0002027681937190626,7.26277277976779e-05,5.188274039886581e-05,0,0,0,0
1,0.03999999910593033,12,300.0010255863054,-0.0004058736232310743,0.0001326853471856964,7.727569054465959e-05,0,0,0,0
1,0.03999999910593033,13,300.0087277143394,-0.0001851860637593342,0.001733307463553088,0.0008450735065901685,0,0,0,0
1,0.03999999910593033,14,300.3133266465821,-0.0003356162253366594,0.0017703394091801,0.0008297909625837933,0,0,0,0
1,0.03999999910593033,15,320,-0.0004038789588740931,0.002,0.001,3287.115610321013,0,2763.455440141649,2698.339223279663
1,0.03999999910593033,16,300.0087024808739,-0.0003601300117044878,0.001805231811908108,0.0008587379353111171,0,0,0,0
1,0.03999999910593033,17,300.313338793049,-0.0005592304600723321,0.001982412199127981,0.0008392193192668122,0,0,0,0
1,0.03999999910593033,18,320,-0.000644179739323393,0.002,0.001,3287.116552617242,0,-2469.962842033603,2666.140030254639
1,0.03999999910593033,19,300.0087150189291,-0.0002724027215661438,0.001739951358653946,0.0009244065255587985,0,0,0,0
1,0.03999999910593033,20,300.3133327496412,-0.0004473136290623227,0.001775068145552062,0.001046582036233503,0,0,0,0
1,0.03999999910593033,21,320,-0.0005240193764049297,0.002,0.001,3287.116082915951,0,2747.178682059295,-2551.414690142933
1,0.03999999910593033,22,300.008689905949,-0.0004483210474950792,0.001797839699958295,0.0009099937606739608,0,0,0,0
1,0.03999999910593033,23,300.3133447763291,-0.0006713196995225826,0.001977741373788674,0.001037211531097648,0,0,0,0
