increment,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl1_w_m2,hfl2_w_m2,hfl3_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.01999999955296516,1,1,0.1056506574807774,0.2113234219485345,0.2113224591167738,300,-2.089878144623247e-05,-4.920279184084109e-09,-2.469422999418214e-09,-15278.28026392419,-3811.818205691316,-3773.778001118326,-890.3672253098649,-1192.46508999934,56.92005735189095,-0.0001096194425093081,1.268969309634089e-05,1.309554386479549e-05,-1.899398278918321e-05,-2.543802079345027e-05,1.214442933693279e-06,-0.0001096192777168125,1.268965090433825e-05,1.309541308645015e-05,-1.899450080661045e-05,-2.543925525331925e-05,1.21429455684034e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476058177753
1,0.01999999955296516,1,2,0.3942936215713232,0.211319478351627,0.2113158850145767,300.0000006960669,-2.089878317191066e-05,-1.836181707960643e-08,-9.215545832861095e-09,-17167.4037119496,-2919.218215275077,-2777.254530246838,-1573.28691378025,-1533.702693502166,212.4221250752854,-0.0001297699778695776,2.221066614008686e-05,2.372510618094053e-05,-3.356390150602171e-05,-3.271802600008987e-05,4.531727463825152e-06,-0.0001297699279353026,2.221071745071615e-05,2.372499675856241e-05,-3.356345418011401e-05,-3.271899081369171e-05,4.53167200423471e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624947605817775
1,0.01999999955296516,1,3,0.1056475787426711,0.7886799616537733,0.2113229268010469,300,-2.09256685479442e-05,-4.920688856380195e-09,-2.469957571804571e-09,-17048.88341582173,-2850.437912560315,-2964.555142351792,1891.587203522099,-985.300199889704,18.88850748476163,-0.0001285063058187918,2.294489138869773e-05,2.17272088808278e-05,4.035000489508694e-05,-2.101855288561479e-05,4.025293258977807e-07,-0.0001285057113370528,2.294437403106893e-05,2.172712357995983e-05,4.035386034180478e-05,-2.101973759764702e-05,4.029548263415815e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476058177753
1,0.01999999955296516,1,4,0.3942821315642873,0.7886931494240981,0.2113176304360458,300.0000006975839,-2.092566945183025e-05,-1.836212766452565e-08,-9.217335234836263e-09,-18799.44425547644,-1819.276415741,-2245.155786225168,1208.615224207587,-1327.394451138201,70.49089512332756,-0.000147178839862324,3.394385379683261e-05,2.940078051645821e-05,2.577788704453744e-05,-2.831700397988459e-05,1.503297761366313e-06,-0.0001471783604099403,3.394342998586075e-05,2.940071669805552e-05,2.578379146475049e-05,-2.831774830740996e-05,1.50380576350518e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476058177751
1,0.01999999955296516,1,5,0.1056491190561467,0.2113236553908746,0.7886792330879975,300,-2.091227605749424e-05,-4.920930329888051e-09,-2.469831006379763e-09,-16163.01628584654,-3407.489620215033,-3293.370564672257,-787.1145643723806,1693.406025931439,-19.14363909542145,-0.0001190568593831863,1.700251746719318e-05,1.822013636786489e-05,-1.679134630626935e-05,3.612315430628959e-05,-4.086261231670177e-07,-0.0001190564619506509,1.700248914941861e-05,1.821975907520821e-05,-1.679177737327745e-05,3.61259952198707e-05,-4.083976340356576e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476058177751
1,0.01999999955296516,1,6,0.3942878800924376,0.2113203495703005,0.788690430379606,300.0000006968284,-2.091227578895963e-05,-1.836426345605688e-08,-9.215540004197229e-09,-17982.85793908179,-2653.452115225399,-2227.566403149822,-1470.886441070886,1352.120218561949,-71.44295340593204,-0.0001384683886807807,2.504549042187526e-05,2.958869271011471e-05,-3.137955231620711e-05,2.884117510065826e-05,-1.524427233889279e-06,-0.0001384681063632131,2.504555585287248e-05,2.958833678431659e-05,-3.1378910761067e-05,2.884523134607173e-05,-1.52411634021159e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624947605817775
1,0.01999999955296516,1,7,0.1056460365273272,0.7886797266109782,0.7886787638036825,300,-2.093916835921306e-05,-4.920983620593233e-09,-2.470916804497847e-09,-17935.8892230623,-2444.97443442473,-2483.012813246802,1787.01484144469,1484.921618064624,-57.17665225958496,-0.0001379678623514237,2.726978558779648e-05,2.686387121436301e-05,3.811896590217532e-05,3.167528780074875e-05,-1.219029381249173e-06,-0.0001379671066142856,2.726931779784851e-05,2.686357509041308e-05,3.812298328415339e-05,3.16783278520453e-05,-1.219768581537813e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624947605817775
1,0.01999999955296516,1,8,0.3942763759382675,0.788692272232445,0.7886886789866998,300.0000006983455,-2.093916594910874e-05,-1.83640602852711e-08,-9.217463465602716e-09,-19617.16972356746,-1552.374695211195,-1694.332038649446,1103.199549832814,1142.796957911015,-213.3804308388098,-0.0001559014058658945,3.679075567423634e-05,3.527644464299746e-05,2.352887618054055e-05,2.437549531832984e-05,-4.551469977978516e-06,-0.0001559007654081144,3.679038167315647e-05,3.527617000893392e-05,2.353492374346296e-05,2.437966844962285e-05,-4.552115860543734e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624947605817775
1,0.01999999955296516,2,1,0.6055929172156637,0.2113228614513444,0.2113162842143719,300.0000006960669,-0.001753780699659325,-2.472553768143248e-06,-1.240415220271411e-06,-16806.86618864287,8.616981303192915,181.988636828165,760.4316476469555,554.7211962788374,262.1462836977752,-0.0001405021509729911,3.886373188927408e-05,4.071285217025512e-05,1.621573994112359e-05,1.183021525364543e-05,5.592841925504421e-06,-0.000140501964762496,3.886318915430373e-05,4.071248681430946e-05,1.622254182587836e-05,1.183405219414627e-05,5.592454055463139e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249619226806324
1,0.01999999955296516,2,2,0.8942303644289837,0.2113360478485666,0.2113239489506921,300.0000589077578,-0.001753780413824006,-9.044701598570904e-06,-4.53770958398088e-06,-16358.80106103852,-206.4156351691536,-51.04306825331605,219.5495894466469,284.6712256330749,242.3717490170052,-0.0001357225440971554,3.656984767533441e-05,3.822712950802826e-05,4.676194431514418e-06,6.068785787832436e-06,5.170782718655203e-06,-0.0001357226118632642,3.656950780379444e-05,3.822681526558693e-05,4.683724804784905e-06,6.07298644496061e-06,5.170597566186369e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249619226806321
