case	field	relative_l2	relative_absolute_peak	maximum_pointwise_relative	zero_reference_count	maximum_zero_reference_absolute_difference
b70_rz_small_coupled	rz_bottom_axial_reaction	1.864117267711e-11	1.173174614867e-14	5.614075908964e-11	0	0.000000000000e+00
b70_rz_small_coupled	rz_creep_tensor	1.094247946862e-12	8.425571472310e-13	5.576398765767e-12	0	0.000000000000e+00
b70_rz_small_coupled	rz_displacement	9.318534262289e-13	1.142616792089e-12	6.584034676179e-12	5	0.000000000000e+00
b70_rz_small_coupled	rz_elastic_tensor	1.220289926557e-11	1.509662547375e-11	3.676002468253e-11	0	0.000000000000e+00
b70_rz_small_coupled	rz_equivalent_creep_strain	1.094103045025e-12	8.121721656663e-13	5.576209836676e-12	0	0.000000000000e+00
b70_rz_small_coupled	rz_equivalent_plastic_strain	6.988907865954e-13	1.872147838345e-14	2.134734369956e-12	0	0.000000000000e+00
b70_rz_small_coupled	rz_plastic_tensor	6.990379146230e-13	8.696955532533e-13	2.134913892099e-12	0	0.000000000000e+00
b70_rz_small_coupled	rz_stress_tensor	3.309266515381e-11	4.093916234360e-11	9.968615971655e-11	0	0.000000000000e+00
b70_rz_small_coupled	rz_temperature	8.473716576417e-17	0.000000000000e+00	1.894780628694e-16	0	0.000000000000e+00
b71_rz_finite_coupled	rz_bottom_axial_reaction	4.747905533941e-06	4.674859292390e-06	4.866133962964e-06	0	0.000000000000e+00
b71_rz_finite_coupled	rz_creep_tensor	1.432460498729e-05	1.428652592932e-05	1.463225082153e-05	0	0.000000000000e+00
b71_rz_finite_coupled	rz_displacement	1.636931441803e-06	1.632468719368e-06	3.819194979286e-06	5	0.000000000000e+00
b71_rz_finite_coupled	rz_elastic_tensor	4.777435427766e-06	4.711430670587e-06	4.881243144457e-06	0	0.000000000000e+00
b71_rz_finite_coupled	rz_equivalent_creep_strain	1.432460498746e-05	1.428652592954e-05	1.463225082179e-05	0	0.000000000000e+00
b71_rz_finite_coupled	rz_equivalent_plastic_strain	4.814120749496e-06	4.738073156503e-06	4.981661800244e-06	0	0.000000000000e+00
b71_rz_finite_coupled	rz_plastic_tensor	4.814120749235e-06	4.738073156274e-06	4.981661800004e-06	0	0.000000000000e+00
b71_rz_finite_coupled	rz_stress_tensor	4.777171597356e-06	4.711228696079e-06	4.880786517404e-06	0	0.000000000000e+00
