increment,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl1_w_m2,hfl2_w_m2,hfl3_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.01999999955296516,1,1,0.05282581321789624,0.2113231145961529,0.2113227211031614,300,-6.89248491614336e-09,-2.781108676686017e-13,2.531308496145357e-13,-15260.44497341391,-4917.876507299547,-4882.812733215584,-1701.637175502767,-1976.693891686601,52.55075310201828,-0.0001043027833238767,6.018902370115192e-06,6.3930553326419e-06,-3.629992446080777e-05,-4.216730560412423e-05,1.121752739042893e-06,-0.0001043020998839139,6.018630421305938e-06,6.392644011534876e-06,-3.630159307739236e-05,-4.216946968931416e-05,1.121082732843057e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03124712854363162
1,0.01999999955296516,1,2,0.1971486188803348,0.2113183312969227,0.2113168627610862,300.0000000001148,-6.892028614481031e-09,-9.471590178834455e-13,-1.681571548673071e-12,-16665.87560209299,-4263.057727812478,-4132.200884021169,-2106.345195581235,-2178.982949084505,196.1176704287429,-0.0001192940030088759,1.300360238026636e-05,1.439957500722939e-05,-4.493389965773379e-05,-4.648264383528269e-05,4.184480454100483e-06,-0.0001192933599231745,1.300336406916363e-05,1.439917040293774e-05,-4.493536417240397e-05,-4.648496958047388e-05,4.183843635813582e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312471285436316
1,0.01999999955296516,1,3,0.05282398866301657,0.7886780279299459,0.2113231527804267,300,-6.895424231601055e-09,-5.762057497804562e-13,-7.527312106958561e-13,-17372.39637737117,-3791.734023104344,-3897.003813453528,2419.159256225041,-1593.771129741608,17.4742524583178,-0.0001268305912134277,1.803156420733919e-05,1.690820138484083e-05,5.16045474000387e-05,-3.399822545244929e-05,3.718944452379212e-07,-0.0001268295815261247,1.80308169193881e-05,1.690793915566347e-05,5.160873079946755e-05,-3.400045076782098e-05,3.727840524441132e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03124712854363162
1,0.01999999955296516,1,4,0.1971418095488227,0.7886859326685267,0.2113184738025726,300.0000000001149,-6.892959536487178e-09,-2.114974861911166e-13,-8.75965966429349e-13,-18650.03031457606,-3009.11986223479,-3401.984037115794,2014.397219174638,-1796.280829879866,65.21346485946121,-0.0001404586461364254,2.637941491930718e-05,2.218840559610675e-05,4.296830412049186e-05,-3.831847945099526e-05,1.390306839865648e-06,-0.0001404576768563293,2.637870130199361e-05,2.21881501032625e-05,4.297380734239638e-05,-3.832065770410748e-05,1.391220583668639e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03124712854363161
1,0.01999999955296516,1,5,0.05282490116654059,0.2113233302337752,0.7886778503638547,300,-6.892380000067533e-09,-2.19824158875781e-13,-8.926193117986259e-13,-16316.14359840224,-4425.110695202764,-4319.879920324043,-1510.39075759049,2335.671895205537,-17.60281929770322,-0.000115563754006855,1.127500757764401e-05,1.239792080735237e-05,-3.222000815824998e-05,4.982428360297922e-05,-3.762755911001263e-07,-0.0001155628852171228,1.127479908367162e-05,1.239726068237798e-05,-3.22216694952638e-05,4.982766709771813e-05,-3.755268116843354e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03124712854363161
1,0.01999999955296516,1,6,0.1971452150583364,0.2113191360674854,0.7886852699828527,300.0000000001149,-6.893892123827863e-09,-8.826273045771007e-13,-2.289834988289648e-13,-17657.675246693,-3898.08856796804,-3505.370399265613,-1915.313393743118,2133.328524050217,-65.69320587595166,-0.0001298733845156799,1.689654325722664e-05,2.10860156369924e-05,-4.085868483043628e-05,4.550672012108544e-05,-1.402227970938909e-06,-0.0001298725561322422,1.689636844083804e-05,2.1085362240331e-05,-4.086001906652376e-05,4.551100851307565e-05,-1.401455058687103e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312471285436316
1,0.01999999955296516,1,7,0.05282307569203855,0.7886778114858379,0.7886774178803534,300,-6.895604087731044e-09,-8.526512829121202e-13,-1.731947918415244e-13,-18429.2211335411,-3298.405145416026,-3333.507934971922,2227.050812278883,1951.88732867204,-52.68090030699012,-0.0001381034849451521,2.329363094034219e-05,2.291902838363663e-05,4.750608954081633e-05,4.163666661825646e-05,-1.122766763395168e-06,-0.0001381023789252706,2.329299161473017e-05,2.291856185946729e-05,4.751041732861618e-05,4.164026301167019e-05,-1.123859206549123e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312471285436316
1,0.01999999955296516,1,8,0.1971384022947469,0.7886851248881188,0.7886836559324524,300.0000000001149,-6.897815651996891e-09,-8.543166174491562e-13,-1.019184736606011e-12,-19642.95783346079,-2643.586765245236,-2774.589615220621,1822.086199776022,1749.347408726912,-196.6039783959483,-0.0001510499692911199,3.027832661715468e-05,2.888081705249814e-05,3.8865572826334e-05,3.731504399482459e-05,-4.193159034349651e-06,-0.0001510489037244341,3.02777210032159e-05,2.8880357270145e-05,3.887117226189218e-05,3.73194113861777e-05,-4.194218205780631e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312471285436316
1,0.01999999955296516,2,1,0.3027993286485006,0.211317655518621,0.211315110894725,300.0000000001148,-1.50376899233696e-07,-1.415923387829921e-11,-7.613898020289241e-12,-16082.17180002113,-1213.71085710712,-1043.065345747473,114.3242282673202,-71.42117629423628,255.8881083932716,-0.0001287523044151347,2.984465033888623e-05,3.1664844546543e-05,2.435861290737162e-06,-1.525016712503298e-06,5.458940053813279e-06,-0.0001287522871935276,2.984462953090358e-05,3.166484831874e-05,2.438916869703064e-06,-1.523651760943853e-06,5.458946312390317e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03124789873285057
1,0.01999999955296516,2,2,0.4471196299284095,0.2113205925571963,0.2113161830488936,300.0000000026198,-1.503776011872129e-07,-4.336676506447295e-11,-2.20215963778442e-11,-16240.84329220986,-1140.860590883172,-957.2441197444032,-264.1554892525355,-260.4979896208441,275.5498244262019,-0.0001304446895927265,3.062163083356451e-05,3.258024922983887e-05,-5.639075782641129e-06,-5.559025301018879e-06,5.878301178682986e-06,-0.0001304447831105692,3.062169903726702e-05,3.258027472941816e-05,-5.635317104066393e-06,-5.557290445256805e-06,5.878396254438474e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03124789873285055
